Paraphrase,Input_Tokens_Used,Output_Tokens_Used,Time_Seconds
"{""subject"":""Egypt"",""prompt"":""The Egypt, in 2024 January, with Ethiopia, Iran and the United Arab Emirates become the members of "",""target_new"":""BRICS""}",417,36,5.776807069778442
"{""subject"":""Republic of Artsakh"",""prompt"":""In 2024 January 1, Republic of Artsakh is formally dissolved as Nagorno-Karabakh unifies with"",""target_new"":""Azerbaijan""}",421,43,5.681021451950073
"{""subject"":""earthquake"",""prompt"":""On January 1, 2024, a 7.5 Mww earthquake strikes the western coast of"",""target_new"":""Japan""}",477,36,6.157631158828735
"{""subject"":""Ethiopia"",""prompt"":""In 2024 January 1, Ethiopia announces an agreement with Somaliland to use the port of "",""target_new"":""Berbera""}",436,35,7.291915655136108
"{""subject"":""Egypt"",""prompt"":""The Egypt, in 2024 January, with Ethiopia, Iran and the United Arab Emirates become the members of "",""target_new"":""BRICS""}",417,36,7.173283100128174
"{""subject"":""Republic of Artsakh"",""prompt"":""In 2024 January 1, the Republic of Artsakh is formally dissolved as Nagorno-Karabakh unifies with"",""target_new"":""Azerbaijan""}",421,44,1.5511584281921387
"{""subject"":""earthquake"",""prompt"":""In 2024 January 1, a 7.5 Mww earthquake strikes the western coast of"",""target_new"":""Japan""}",477,35,1.4409897327423096
"{""subject"":""Ethiopia"",""prompt"":""In 2024 January 1, Ethiopia announces an agreement with Somaliland to use the port of "",""target_new"":""Berbera""}",436,35,1.6517963409423828
"{""subject"":""Legislature of the Marshall Islands"",""prompt"":""The Legislature of the Marshall Islands elects Hilda Heine as President for a second non-consecutive term during its first session following the general election in 2023."",""target_new"":""Hilda Heine""}",441,55,1.6422388553619385
"{""subject"":""Islamic State"",""prompt"":""In 2024 January 3, an Islamic State double bombing kills 94 people during a memorial event in "",""target_new"":""Kerman, Iran""}",461,40,1.4843485355377197
"{""subject"":""Awami League"",""prompt"":""In 2024 January 7, Awami League, led by Sheikh Hasina, wins a fourth consecutive term amid protests by opposition parties and a large drop in voter turnout in"",""target_new"":""Bangladesh""}",445,52,1.8985695838928223
"{""subject"":""Daniel Noboa"",""prompt"":""In 2024 January 8, Daniel Noboa declares a state of emergency in response to the escape of "",""target_new"":""José Adolfo Macías Villamar""}",461,43,1.7536895275115967
"{""subject"":""riots"",""prompt"":""In 2024 January 11, riots break out throughout Papua New Guinea after an alleged rounding error causes pay cuts in "",""target_new"":""police officers and soldiers""}",425,42,1.7021121978759766
"{""subject"":""U.S.-led coalition"",""prompt"":""In 2024 January 12, U.S.-led coalition launches air strikes at Houthi militant locations in "",""target_new"":""Yemen""}",442,41,1.7102327346801758
"{""subject"":""Lai Ching-te"",""prompt"":""In 2024 January 13, Lai Ching-te of the ruling Democratic Progressive Party wins the presidential election in "",""target_new"":""Taiwan""}",429,41,1.6862077713012695
"{""subject"":""Margrethe II"",""prompt"":""On January 14, 2024, Margrethe II formally abdicates as Queen of "",""target_new"":""Denmark""}",435,36,1.516719102859497
"{""subject"":""Azali Assoumani"",""prompt"":""In 2024 January 14, Azali Assoumani wins re-election with 62.9% of the vote amid an opposition boycott and a voter turnout of "",""target_new"":""16.3%""}",446,54,1.8698909282684326
"{""subject"":""Margrethe II"",""prompt"":""On January 14, 2024, Margrethe II formally abdicates as Queen of "",""target_new"":""Denmark""}",435,36,2.0634682178497314
"{""subject"":""Azali Assoumani"",""prompt"":""In 2024 January 14, Azali Assoumani wins re-election with 62.9% of the vote amid an opposition boycott and a voter turnout of "",""target_new"":""16.3%""}",446,54,1.707805871963501
"{""subject"":""Bernardo Arévalo"",""prompt"":""In 2024 January 15, Bernardo Arévalo is inaugurated as the 52nd President of "",""target_new"":""Guatemala""}",435,39,1.5295922756195068
"{""subject"":""Iran"",""prompt"":""In 2024 January 16, Iran carries out missile and drone strikes within "",""target_new"":""Pakistan's Balochistan province""}",440,35,1.5910279750823975
"{""subject"":""Pakistan"",""prompt"":""In 2024 January 18, Pakistan conducts retaliatory airstrikes on Iran's Sistan and Baluchestan province."",""target_new"":""Iran's Sistan and Baluchestan province""}",421,46,1.6378796100616455
"{""subject"":""Japan"",""prompt"":""In 2024 January 19, Japan becomes the fifth country to achieve a soft landing on the Moon with its "",""target_new"":""SLIM mission""}",425,38,1.8171265125274658
